ID,Variant,Tiktok Category,Num. of Orders,VLOOKUP Name,Category,Sub-category,Product Name,Product Variant,Brand,Pack Size
1732861856055788847,Vàng,Khăn tắm,4,"Khăn tắm Cotton mềm mại thấm hút tốt - Khăn tắm gội đầu độ bền màu cao, dày dặn",Quà tặng,Quà tặng,Khăn tắm,,No-brand,0
1733386992367469871,"5 cái (1 túi), Họa tiết",Khẩu trang cho bé,3,[ĐỒNG GIÁ 9K] Khẩu trang trẻ em Gold 3D Mask Kids - Túi 5 cái - Khẩu trang chống bụi size nhỏ cho bé | Trường Dương,Y tế,Khẩu trang,KT Trẻ em Gold3D Kids,Túi 5 cái,Y tế,5
1733386992367535407,"5 cái (1 túi), Xanh",Khẩu trang cho bé,12,[ĐỒNG GIÁ 9K] Khẩu trang trẻ em Gold 3D Mask Kids - Túi 5 cái - Khẩu trang chống bụi size nhỏ cho bé | Trường Dương,Y tế,Khẩu trang,KT Trẻ em Gold3D Kids,Túi 5 cái,Y tế,5
1733948747517625647,3D FINE Mask (Túi 5 cái),Khẩu trang y tế,86,"[HÀNG TẶNG ] Khẩu Trang Kháng Khuẩn, Lọc Bụi Mịn Loại Gold 3D Mask - Túi 5 Cái | Màu Xanh Dương | Trường Dương",Y tế,Khẩu trang,KT Gold3D,Túi 5 cái,Y tế,5
1732880338269013295,Mặc định,"Ngũ cốc ăn sáng, Ngũ cốc & Yến mạch",1,"[HÀNG CHÍNH HÃNG]KINKA Bột ngũ cốc dinh dưỡng (không đường) 200g - Thành phần dinh dưỡng từ gạo lứt, hạt óc chó, hạnh nhân - Dùng được cho người ăn chay, ăn kiêng",Trà & Cà phê,Bột dinh dưỡng,Bột Ngũ Cốc Không Dường,Hộp 200g,Kinka,0.2
1734151389484778799,"Hoa Hạ 2kg + 3,2kg",Nước giặt,2,[CHÍNH HÃNG] Combo Revy Nước Giặt Xả 2 trong 1 - Công Nghệ ION Đột Phá Làm Sạch Hiệu Quả Mềm Vải Hương Thơm Mát Tiết Kiệm Thời Gian & Công Sức,Chăm sóc gia đình,Nước giặt xả 2-in-1,Nước giặt xả 2-in-1 Hoa Hạ,Combo 5.2kg,Revy,5.2
1734151389484647727,"Hoa Nắng 2kg + 3,2kg",Nước giặt,4,[CHÍNH HÃNG] Combo Revy Nước Giặt Xả 2 trong 1 - Công Nghệ ION Đột Phá Làm Sạch Hiệu Quả Mềm Vải Hương Thơm Mát Tiết Kiệm Thời Gian & Công Sức,Chăm sóc gia đình,Nước giặt xả 2-in-1,Nước giặt xả 2-in-1 Hoa Nắng,Combo 5.2kg,Revy,5.2
1734151389484713263,"Hoa Xuân 2kg + 3,2kg",Nước giặt,5,[CHÍNH HÃNG] Combo Revy Nước Giặt Xả 2 trong 1 - Công Nghệ ION Đột Phá Làm Sạch Hiệu Quả Mềm Vải Hương Thơm Mát Tiết Kiệm Thời Gian & Công Sức,Chăm sóc gia đình,Nước giặt xả 2-in-1,Nước giặt xả 2-in-1 Hoa Xuân,Combo 5.2kg,Revy,5.2
1732647967276893487,Bạc hà,Nước lau kính,3,"[HÀNG CHÍNH HÃNG] Nước Lau Kính REVY Hương Bạc Hà & Hương Trà Xanh 500ml - Công nghệ ION dột phá, sạch bóng, không để lại cặn, vết ố",Chăm sóc gia đình,Nước lau kính,Nước lau kính Bạc Hà,Chai 500ml,Revy,0.5
1732647967276959023,Trà xanh,Nước lau kính,3,"[HÀNG CHÍNH HÃNG] Nước Lau Kính REVY Hương Bạc Hà & Hương Trà Xanh 500ml - Công nghệ ION dột phá, sạch bóng, không để lại cặn, vết ố",Chăm sóc gia đình,Nước lau kính,Nước lau kính Trà Xanh,Chai 500ml,Revy,0.5
1732644535545333039,Bạc hà Hoa hạ,Nước lau sàn,12,"[CHÍNH HÃNG] Nước lau sàn Revy - Chai 2L - Sàn nhà sáng bóng - Hương Bạc hà Hoa hạ, Hương Lily, Hương Cam Quế, Hương Sả Gừng",Chăm sóc gia đình,Nước lau sàn,Nước lau sàn Bạc Hà Hoa Hạ,Chai 2L,Revy,2
1734856827708081455,"Bạc hà Hoa hạ, Bạc Hà , CHANH",Nước lau sàn,2,[HOÀNG MÈO x COMBO HỜI 4 MÓN]  Nước lau sàn Revy - Chai 2L + Nước rửa chén Revy 400g + Nước lau kính 500ml,Chăm sóc gia đình,Combo dọn nhà,Combo dọn nhà,,Revy,2.9
1734856827707950383,"Bạc hà Hoa hạ, Bạc Hà , SẢ GỪNG",Nước lau sàn,6,[HOÀNG MÈO x COMBO HỜI 4 MÓN]  Nước lau sàn Revy - Chai 2L + Nước rửa chén Revy 400g + Nước lau kính 500ml,Chăm sóc gia đình,Combo dọn nhà,Combo dọn nhà,,Revy,2.9
1734139142617072943,"Bạc hà Hoa hạ, Chanh, Bạc Hà",Nước lau sàn,2,[COMBO NHÀ SẠCH AN NHIÊN] Nước lau sàn Revy - Chai 2L + Nước rửa chén Revy 800g + Nước lau kính 500ml,Chăm sóc gia đình,Combo dọn nhà,Combo dọn nhà,,Revy,3.3
1734139142617138479,"Bạc hà Hoa hạ, Chanh, Trà Xanh",Nước lau sàn,3,[COMBO NHÀ SẠCH AN NHIÊN] Nước lau sàn Revy - Chai 2L + Nước rửa chén Revy 800g + Nước lau kính 500ml,Chăm sóc gia đình,Combo dọn nhà,Combo dọn nhà,,Revy,3.3
1734139142616941871,"Bạc hà Hoa hạ, Sả gừng, Bạc Hà",Nước lau sàn,11,[COMBO NHÀ SẠCH AN NHIÊN] Nước lau sàn Revy - Chai 2L + Nước rửa chén Revy 800g + Nước lau kính 500ml,Chăm sóc gia đình,Combo dọn nhà,Combo dọn nhà,,Revy,3.3
1734139142617007407,"Bạc hà Hoa hạ, Sả gừng, Trà Xanh",Nước lau sàn,1,[COMBO DỌN NHÀ SẠCH - ĐÓN TẾT VUI] Nước lau sàn Revy - Chai 2L + Nước rửa chén Revy 800g + Nước lau kính 500ml,Chăm sóc gia đình,Combo dọn nhà,Combo dọn nhà,,Revy,3.3
1734139142617400623,"Bạc hà Hoa hạ, Trà Xanh , Trà Xanh",Nước lau sàn,1,[COMBO DỌN NHÀ SẠCH - ĐÓN TẾT VUI] Nước lau sàn Revy - Chai 2L + Nước rửa chén Revy 800g + Nước lau kính 500ml,Chăm sóc gia đình,Combo dọn nhà,Combo dọn nhà,,Revy,3.3
1734139142617204015,"Bạc hà Hoa hạ, Trà Xanh Dưa Lưới, Bạc Hà",Nước lau sàn,1,[COMBO DỌN NHÀ SẠCH] Nước lau sàn Revy - Chai 2L + Nước rửa chén Revy 800g + Nước lau kính 500ml,Chăm sóc gia đình,Combo dọn nhà,Combo dọn nhà,,Revy,3.3
1734856827708278063,"Bạc hà Hoa hạ, Trà Xanh, TRÀ XANH",Nước lau sàn,2,[HOÀNG MÈO x COMBO HỜI 4 MÓN]  Nước lau sàn Revy - Chai 2L + Nước rửa chén Revy 400g + Nước lau kính 500ml,Chăm sóc gia đình,Combo dọn nhà,Combo dọn nhà,,Revy,2.9
1732644535545529647,Cam Quế,Nước lau sàn,12,"[CHÍNH HÃNG] Nước lau sàn Revy - Chai 2L - Sàn nhà sáng bóng - Hương Bạc hà Hoa hạ, Hương Lily, Hương Cam Quế, Hương Sả Gừng",Chăm sóc gia đình,Nước lau sàn,Nước lau sàn Cam Quế,,Revy,2
1734856827708998959,"Cam Quế, Bạc Hà , SẢ GỪNG",Nước lau sàn,1,[HOÀNG MÈO x COMBO HỜI 4 MÓN]  Nước lau sàn Revy - Chai 2L + Nước rửa chén Revy 400g + Nước lau kính 500ml,Chăm sóc gia đình,Combo dọn nhà,Combo dọn nhà,,Revy,2.9
1734139142618645807,"Cam Quế, Chanh, Bạc Hà",Nước lau sàn,1,[COMBO NHÀ SẠCH AN NHIÊN] Nước lau sàn Revy - Chai 2L + Nước rửa chén Revy 800g + Nước lau kính 500ml,Chăm sóc gia đình,Combo dọn nhà,Combo dọn nhà,,Revy,3.3
1732644535545398575,Lily,Nước lau sàn,12,"[CHÍNH HÃNG] Nước lau sàn Revy - Chai 2L - Sàn nhà sáng bóng - Hương Bạc hà Hoa hạ, Hương Lily, Hương Cam Quế, Hương Sả Gừng",Chăm sóc gia đình,Nước lau sàn,Nước lau sàn Lily,,Revy,2
1734139142617466159,"Lily, Sả gừng, Bạc Hà",Nước lau sàn,1,[ĐỘC QUYỀN HOÀNG MÈO] x [COMBO DỌN NHÀ SẠCH - ĐÓN TẾT VUI] Nước lau sàn Revy - Chai 2L + Nước rửa chén Revy 800g + Nước lau kính 500ml,Chăm sóc gia đình,Combo dọn nhà,Combo dọn nhà,,Revy,3.3
1734139142617728303,"Lily, Trà Xanh Dưa Lưới, Bạc Hà",Nước lau sàn,1,[ĐỘC QUYỀN HOÀNG MÈO] x [COMBO DỌN NHÀ SẠCH - ĐÓN TẾT VUI] Nước lau sàn Revy - Chai 2L + Nước rửa chén Revy 800g + Nước lau kính 500ml,Chăm sóc gia đình,Combo dọn nhà,Combo dọn nhà,,Revy,3.3
1732644535545464111,Sả Gừng,Nước lau sàn,17,"[CHÍNH HÃNG] Nước lau sàn Revy - Chai 2L - Sàn nhà sáng bóng - Hương Bạc hà Hoa hạ, Hương Lily, Hương Cam Quế, Hương Sả Gừng",Chăm sóc gia đình,Nước lau sàn,Nước lau sàn Sả Gừng,,Revy,2
1734856827708605743,"Sả Gừng, Bạc Hà , CHANH",Nước lau sàn,1,[HOÀNG MÈO x COMBO HỜI 4 MÓN]  Nước lau sàn Revy - Chai 2L + Nước rửa chén Revy 400g + Nước lau kính 500ml,Chăm sóc gia đình,Combo dọn nhà,Combo dọn nhà,,Revy,2.9
1734856827708474671,"Sả Gừng, Bạc Hà , SẢ GỪNG",Nước lau sàn,1,[HOÀNG MÈO x COMBO HỜI 4 MÓN]  Nước lau sàn Revy - Chai 2L + Nước rửa chén Revy 400g + Nước lau kính 500ml,Chăm sóc gia đình,Combo dọn nhà,Combo dọn nhà,,Revy,2.9
1734856827708540207,"Sả Gừng, Bạc Hà , TRÀ XANH",Nước lau sàn,1,[HOÀNG MÈO x COMBO HỜI 4 MÓN]  Nước lau sàn Revy - Chai 2L + Nước rửa chén Revy 400g + Nước lau kính 500ml,Chăm sóc gia đình,Combo dọn nhà,Combo dọn nhà,,Revy,2.9
1734139142618383663,"Sả Gừng, Trà Xanh , Bạc Hà",Nước lau sàn,1,[COMBO DỌN NHÀ SẠCH - ĐÓN TẾT VUI] Nước lau sàn Revy - Chai 2L + Nước rửa chén Revy 800g + Nước lau kính 500ml,Chăm sóc gia đình,Combo dọn nhà,Combo dọn nhà,,Revy,3.3
1734856827708802351,"Sả Gừng, Trà Xanh, TRÀ XANH",Nước lau sàn,1,[HOÀNG MÈO x COMBO HỜI 4 MÓN]  Nước lau sàn Revy - Chai 2L + Nước rửa chén Revy 400g + Nước lau kính 500ml,Chăm sóc gia đình,Combo dọn nhà,Combo dọn nhà,,Revy,2.9
1732648445028893999,Hoa Anh Dào,Nước rửa tay,27,[MUA 2 GIẢM 50%] Nước Rửa Tay SiMee Dưỡng Ẩm 480ml - Công Thức Mới Giúp Da Tay Mềm Mịn Với HA Hương Hoa Anh Đào & Ổi Trà Xanh,Chăm sóc cá nhân,Nước rửa tay,Nước rửa tay Hoa Anh Đào,,SiMee,0.48
1732648445028959535,Ổi Trà xanh,Nước rửa tay,11,[MUA 2 GIẢM 50%] Nước Rửa Tay SiMee Dưỡng Ẩm 480ml - Công Thức Mới Giúp Da Tay Mềm Mịn Với HA Hương Hoa Anh Đào & Ổi Trà Xanh,Chăm sóc cá nhân,Nước rửa tay,Nước rửa tay Hoa Ổi Trà Xanh,,SiMee,0.48
1732648397582927151,Dâu tằm Yến mạch,Sữa tắm & Xà phòng,17,"[HÀNG CHÍNH HÃNG] Sữa tắm spa SiMee Dứa Hồng Nhiệt Đợi & Dâu Tằm Yến Mạch | Làm sạch - Dưỡng trắng – Dưỡng ẩm – Dịu da | Chai 1L dung tích lớn, tiết kiệm hơn",Chăm sóc cá nhân,Chăm sóc cơ thể,Sữa tắm Spa Dâu Tằm Yến Mạch,,SiMee,1
1732648397582992687,Dứa hồng nhiệt đới,Sữa tắm & Xà phòng,5,"[HÀNG CHÍNH HÃNG] Sữa tắm spa SiMee Dứa Hồng Nhiệt Đợi & Dâu Tằm Yến Mạch | Làm sạch - Dưỡng trắng – Dưỡng ẩm – Dịu da | Chai 1L dung tích lớn, tiết kiệm hơn",Chăm sóc cá nhân,Chăm sóc cơ thể,Sữa tắm Spa Dứa Hồng,,SiMee,1
1732648369673962799,"Hoa Trà - nhẹ nhàng, tinh tế",Sữa tắm & Xà phòng,1,"SiMee Sữa Tắm Nước Hoa SiMee Hương Hoa Trà & Linh Lan - Cung Cấp Dưỡng Ẩm, Sạch Mịn Da - Chai 480ml - Hương Thơm Tinh Tế Từ Pháp",Chăm sóc cá nhân,Chăm sóc cơ thể,Sữa tắm Nước Hoa Hoa Trà,Chai 480ml,SiMee,0.48
1733315471993242927,"Hoa Trà - nhẹ nhàng, tinh tế, 200ml",Sữa tắm & Xà phòng,1,"[HÀNG CHÍNH HÃNG] SiMee Sữa Tắm Nước Hoa SiMee Hương Hoa Trà & Linh Lan - Cung Cấp Dưỡng Ẩm, Sạch Mịn Da - Chai 480ml - Hương Thơm Tinh Tế Từ Pháp",Chăm sóc cá nhân,Chăm sóc cơ thể,Sữa Tắm Nước Hoa Hoa Trà,Chai 200ml,SiMee,0.2
